,vi_family,grad_estimator_type,good_model_id,laplaces_method_use,augmentation_param_M,step_size,num_epochs,time per iter,good_model_names,seed,final_metric,final_metric_std,training_average_lower_bound,sampling_M,step_size_scheme
122,gaussian,IWAEDREG,32,1,1,0.001,30000,0.029906982628504435,electric_chr,11,-511.52871978100194,1.2956503046269703,-599.0352044749399,1,comprehensive step search
123,gaussian,IWAEDREG,32,1,10,0.001,30000,0.022755436166127522,electric_chr,11,-669.7778939223898,227.63398933280791,-580.5632805600744,1,comprehensive step search
124,rnvp,IWAE,32,0,1,0.001,30000,0.18687031735579174,electric_chr,11,-510.9007326538866,0.7957260367125164,-1024.157195808344,1,comprehensive step search
125,rnvp,IWAE,32,0,10,0.001,30000,0.17709564464092253,electric_chr,11,-512.1588906888297,2.2461387432811555,-607.5670478990918,1,comprehensive step search
126,rnvp,IWAEDREG,32,0,1,0.001,30000,0.20484968758424124,electric_chr,11,-510.6236329221718,0.22818311263857008,-1023.9273425708938,1,comprehensive step search
127,rnvp,IWAEDREG,32,0,10,0.001,30000,0.19108853211402893,electric_chr,11,-510.7634083832966,0.6095299702008915,-604.3536001993622,1,comprehensive step search
128,gaussian,IWAE,41,0,1,0.0005714285714285715,30000,0.06288312145074208,radon_vary_si_chr,11,-102.84369776479365,1.6128483095188035,-3725.28730392352,1,comprehensive step search
129,gaussian,IWAE,41,0,10,0.0005714285714285715,30000,0.05850368092854818,radon_vary_si_chr,11,-108.0210012465547,6.487821075651524,-2489.073815663843,1,comprehensive step search
130,gaussian,IWAE,41,1,1,0.0005714285714285715,30000,0.0642056569814682,radon_vary_si_chr,11,-102.8456895306815,1.6312518542859027,-815.9487181092006,1,comprehensive step search
131,gaussian,IWAE,41,1,10,0.0005714285714285715,30000,0.05642553949356079,radon_vary_si_chr,11,-162.6321411794686,194.81330348769487,-585.5708417700321,1,comprehensive step search
132,gaussian,IWAEDREG,41,0,1,0.0005714285714285715,30000,0.04553930518627167,radon_vary_si_chr,11,-102.38228228540065,1.2712985615161307,-3725.062820979204,1,comprehensive step search
133,gaussian,IWAEDREG,41,0,10,0.0005714285714285715,30000,0.03922850923538208,radon_vary_si_chr,11,-103.10738503957089,3.203490607778799,-2490.3162087132255,1,comprehensive step search
134,gaussian,IWAEDREG,41,1,1,0.00014285714285714287,30000,0.046349188494682315,radon_vary_si_chr,11,-211.79866759744206,6.0379777163078465,-932.8268650496012,1,comprehensive step search
135,gaussian,IWAEDREG,41,1,10,0.00014285714285714287,30000,0.039411887081464134,radon_vary_si_chr,11,-61087.11138611661,169989.08681028016,-592.9311809807284,1,comprehensive step search
136,rnvp,IWAE,41,0,1,0.0005714285714285715,30000,0.2395731175581614,radon_vary_si_chr,11,-102.3573102286185,1.499863094789808,-2168.354469859646,1,comprehensive step search
137,rnvp,IWAE,41,0,10,0.0005714285714285715,30000,0.2385851731856664,radon_vary_si_chr,11,-106.00415588257762,3.6373133297225575,-1390.393927435133,1,comprehensive step search
138,rnvp,IWAEDREG,41,0,1,0.0005714285714285715,30000,0.25523845960299174,radon_vary_si_chr,11,-101.44430962754492,0.5267999760864154,-2168.100020918286,1,comprehensive step search
139,rnvp,IWAEDREG,41,0,10,0.0005714285714285715,30000,0.23860129611492156,radon_vary_si_chr,11,-103.79381371026626,3.2681272641008996,-1439.080649910659,1,comprehensive step search
140,gaussian,IWAE,44,0,1,0.00028409090909090913,30000,0.03429571253458659,radon_redundant_chr,11,-223.60504589204703,9.25273020980374,-6551.183444269802,1,comprehensive step search
141,gaussian,IWAE,44,0,10,7.102272727272728e-05,30000,0.028357695722579956,radon_redundant_chr,11,-4152.2560917553055,73234.01161375814,-3603.5420468553025,1,comprehensive step search
142,gaussian,IWAE,44,1,1,7.102272727272728e-05,30000,0.034906638677914936,radon_redundant_chr,11,-467.96125601071986,4.982543311495927,-4183.003722022569,1,comprehensive step search
143,gaussian,IWAE,44,1,10,7.102272727272728e-05,30000,0.02757263548374176,radon_redundant_chr,11,-26334.364379160572,56861.85193572466,-584.0940449829857,1,comprehensive step search
144,gaussian,IWAEDREG,44,0,1,7.102272727272728e-05,30000,0.03077165066401164,radon_redundant_chr,11,-2924.63536702849,828.4113535502216,-7504.957166638788,1,comprehensive step search
145,gaussian,IWAEDREG,44,0,10,7.102272727272728e-05,30000,0.023860536321004232,radon_redundant_chr,11,-4461.166761003579,44721.57001076286,-3602.092343430462,1,comprehensive step search
146,gaussian,IWAEDREG,44,1,1,7.102272727272728e-05,30000,0.030808740456899006,radon_redundant_chr,11,-467.5723880807085,4.359813988636276,-4183.578160074932,1,comprehensive step search
147,gaussian,IWAEDREG,44,1,10,1.775568181818182e-05,30000,0.023732092316945393,radon_redundant_chr,11,-3133.9764648406112,4899.343822549501,-587.4848274432226,1,comprehensive step search
148,rnvp,IWAE,44,0,1,0.0011363636363636365,30000,0.17387785898844402,radon_redundant_chr,11,-217.37114306359334,0.9962700816345663,-3319.9629580375095,1,comprehensive step search
